Chapter,Section,Name,Text,IsRepealed,Details,Part
264,1,Treason defined,"Section 1. Treason against the commonwealth shall consist only in levying war against it, or in adhering to the enemies thereof, giving them aid and comfort; it shall not be bailable.   

",False,http://malegislature.gov/api/Chapters/264/Sections/1/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,2,Penalty for treason,"Section 2. Whoever commits treason against the commonwealth shall be punished by imprisonment in the state prison for life.   

",False,http://malegislature.gov/api/Chapters/264/Sections/2/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,3,Misprision of treason; penalty,"Section 3. Whoever, having knowledge of the commission of treason, conceals the same and does not as soon as may be disclose and make known such treason to the governor, or to a justice of the supreme judicial or superior court, shall be guilty of misprision of treason, and shall be punished by a fine of not more than one thousand dollars or by imprisonment in the state prison for not more than five years, or in jail for not more than two years.   

",False,http://malegislature.gov/api/Chapters/264/Sections/3/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,4,Treason; manner of conviction,"Section 4. No person shall be convicted of treason except by the testimony of two witnesses to the same overt act of treason whereof he stands indicted, unless he confesses the same in open court.   

",False,http://malegislature.gov/api/Chapters/264/Sections/4/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,5,Flag; penalty for misuse,"Section 5. Whoever publicly burns or otherwise mutilates, tramples upon, defaces or treats contemptuously the flag of the United States or of Massachusetts, whether such flag is public or private property, or whoever displays such flag or any representation thereof upon which are words, figures, advertisements or designs, or whoever causes or permits such flag to be used in a parade as a receptacle for depositing or collecting money or any other article or thing, or whoever exposes to public view, manufactures, sells, exposes for sale, gives away or has in his possession for sale or to give away or for use for any purpose, any article or substance, being an article of merchandise or a receptacle of merchandise or articles upon which is attached, through a wrapping or otherwise, engraved or printed in any manner, a representation of the United States flag, or whoever uses any representation of the arms or the great seal of the commonwealth for any advertising or commercial purpose, shall be punished by a fine of not less than one hundred dollars or by imprisonment for not more than one year, or both. Words, figures, advertisements or designs attached to, or directly or indirectly connected with, such flag or any representation thereof in such manner that such flag or its representation is used to attract attention to or advertise such words, figures, advertisements or designs, shall for the purposes of this section be deemed to be upon such flag. Notwithstanding the foregoing, there may be attached to the staff bearing a flag of the United States or of Massachusetts belonging to an organization of veterans of the Civil War, to a camp of the United Spanish War Veterans, to a post or department of The American Legion, or to a post or department of the Veterans of Foreign Wars of the United States, or to a post or department of the Jewish War Veterans of the United States, or to a camp or department of the Sons of Union Veterans of the Civil War, or to a barracks or department of the Veterans of World War I of the U. S. A., or belonging to or used in the service of the United States or the commonwealth, a streamer having inscribed thereon the names of battles and the name and number of the organization to which such flag belongs. For the purposes of this section, a flag shall be deemed to continue to belong to any organization of veterans hereinbefore specified, although such organization has ceased to exist, during such time as it remains in the lawful ownership or custody of any other of the aforesaid organizations or of the commonwealth or of any political subdivision thereof, or of any patriotic or historical society incorporated under the laws of the commonwealth or determined by the adjutant general to be a proper custodian thereof. For the purposes of this section the term ''flag of the United States'' shall mean any flag which has been designated by Act or Resolution of the Congress of the United States as the national emblem, whether or not such designation is currently in force.   

",False,http://malegislature.gov/api/Chapters/264/Sections/5/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,6,Flag; use in print in certain cases,"Section 6. The preceding section shall not apply to publications issued solely for the purpose of giving information in relation to the flag, or of promoting patriotism or of encouraging the study of American history, or to any newspaper, periodical, book, pamphlet, certificate, diploma, warrant, or commission of appointment to office, ornamental picture, article of jewelry, or stationery for use in correspondence, on which is printed, painted, or placed the flag of the United States not connected with any advertisement and not used for advertising purposes, or to any article of jewelry upon which is placed a representation of the arms or flag of the commonwealth not connected with any advertisement and not used for advertising purposes; but no words, figures, designs or other marks of any kind shall be placed upon the flag of the United States or of the commonwealth or representation thereof, or upon any representation of the arms of the commonwealth.   

",False,http://malegislature.gov/api/Chapters/264/Sections/6/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,7,Foreign flags; misuse; penalty,"Section 7. Whoever publicly mutilates, tramples upon, defaces or treats contemptuously the flag or emblem of a foreign country at peace with the United States, whether such flag or emblem is public or private property, or whoever displays such flag or emblem or any representation thereof upon which are words, figures, advertisements or designs, shall be punished by a fine of not less than five nor more than fifty dollars.   

",False,http://malegislature.gov/api/Chapters/264/Sections/7/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,8,Foreign flag; display; penalty; exception,"Section 8. Whoever displays the flag or emblem of a foreign country upon the outside of a state, county, city or town building or public schoolhouse shall be punished by a fine of not more than twenty dollars; but, except as to public schoolhouses, this section shall not apply when a citizen of such foreign country becomes the guest of the United States or of the commonwealth, or when a diplomatic representative of a foreign country is a guest at said public building and, if the governor by proclamation authorizes the flag of the country of which such guest is a citizen to be displayed upon public buildings.   

",False,http://malegislature.gov/api/Chapters/264/Sections/8/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,9,National anthem; manner of playing,"Section 9. Whoever plays, sings or renders the ''Star Spangled Banner'' in any public place, theatre, motion picture hall, restaurant or caf&eacute;, or at any public entertainment, other than as a whole and separate composition or number, without embellishment or addition in the way of national or other melodies, or whoever plays, sings or renders the ''Star Spangled Banner'', or any part thereof, as dance music, as an exit march or as a part of a medley of any kind, shall be punished by a fine of not more than one hundred dollars.   

",False,http://malegislature.gov/api/Chapters/264/Sections/9/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
264,10,nan,nan,False,http://malegislature.gov/api/Chapters/264/Sections/10/,nan
