Chapter,Section,Name,Text,IsRepealed,Details,Part
268A,1,Definitions,"Section 1. In this chapter the following words, unless a different meaning is required by the context or is specifically prescribed, shall have the following meanings:&mdash;  

(a) ''Compensation'', any money, thing of value or economic benefit conferred on or received by any person in return for services rendered or to be rendered by himself or another.  

(b) ''Competitive bidding'', all bidding, where the same may be prescribed by applicable sections of the General Laws or otherwise, given and tendered to a state, county or municipal agency in response to an open solicitation of bids from the general public by public announcement or public advertising, where the contract is awarded to the lowest responsible bidder.  

(c) ''County agency'', any department or office of county government and any division, board, bureau, commission, institution, tribunal or other instrumentality thereof or thereunder.  

(d) ''County employee'', a person performing services for or holding an office, position, employment, or membership in a county agency, whether by election, appointment, contract of hire or engagement, whether serving with or without compensation, on a full, regular, part-time, intermittent, or consultant basis.  

(e) ''Immediate family'', the employee and his spouse, and their parents, children, brothers and sisters.  

(f) ''Municipal agency'', any department or office of a city or town government and any council, division, board, bureau, commission, institution, tribunal or other instrumentality thereof or thereunder.  

(g) ''Municipal employee,'' a person performing services for or holding an office, position, employment or membership in a municipal agency, whether by election, appointment, contract of hire or engagement, whether serving with or without compensation, on a full, regular, part-time, intermittent, or consultant basis, but excluding (1) elected members of a town meeting and (2) members of a charter commission established under Article LXXXIX of the Amendments to the Constitution.  

(h) ''Official act'', any decision or action in a particular matter or in the enactment of legislation.  

(i) ''Official responsibility'', the direct administrative or operating authority, whether intermediate or final, and either exercisable alone or with others, and whether personal or through subordinates, to approve, disapprove or otherwise direct agency action.  

(j) ''Participate'', participate in agency action or in a particular matter personally and substantially as a state, county or municipal employee, through approval, disapproval, decision, recommendation, the rendering of advice, investigation or otherwise.  

(k) ''Particular matter'', any judicial or other proceeding, application, submission, request for a ruling or other determination, contract, claim, controversy, charge, accusation, arrest, decision, determination, finding, but excluding enactment of general legislation by the general court and petitions of cities, towns, counties and districts for special laws related to their governmental organizations, powers, duties, finances and property.  

(l) ''Person who has been selected'', any person who has been nominated or appointed to be a state, county or municipal employee or has been officially informed that he will be so nominated or appointed.  

(m) ''Special county employee'', a county employee who is performing services or holding an office, position, employment or membership for which no compensation is provided; or who is not an elected official and (1) occupies a position which, by its classification in the county agency involved or by the terms of the contract or conditions of employment, permits personal or private employment during normal working hours, provided that disclosure of such classification or permission is filed in writing with the State Ethics Commission and the office of the county commissioners prior to the commencement of any personal or private employment, or (2) in fact does not earn compensation as a county employee for an aggregate of more than eight hundred hours during the preceding three hundred and sixty-five days. For this purpose compensation by the day shall be considered as equivalent to compensation for seven hours per day. A special county employee shall be in such a status on days for which he is not compensated as well as on days on which he earns compensation.  

(n) ''Special municipal employee'', a municipal employee who is not a mayor, a member of the board of aldermen, a member of the city council, or a selectman in a town with a population in excess of ten thousand persons and whose position has been expressly classified by the city council, or board of aldermen if there is no city council, or board of selectmen, as that of a special employee under the terms and provisions of this chapter; provided, however, that a selectman in a town with a population of ten thousand or fewer persons shall be a special municipal employee without being expressly so classified. All employees who hold equivalent offices, positions, employment or membership in the same municipal agency shall have the same classification; provided, however, no municipal employee shall be classified as a ''special municipal employee'' unless he occupies a position for which no compensation is provided or which, by its classification in the municipal agency involved or by the terms of the contract or conditions of employment, permits personal or private employment during normal working hours, or unless he in fact does not earn compensation as a municipal employee for an aggregate of more than eight hundred hours during the preceding three hundred and sixty-five days. For this purpose compensation by the day shall be considered as equivalent to compensation for seven hours per day. A special municipal employee shall be in such status on days for which he is not compensated as well as on days on which he earns compensation. All employees of any city or town wherein no such classification has been made shall be deemed to be ''municipal employees'' and shall be subject to all the provisions of this chapter with respect thereto without exception.  

(o) ''Special state employee'', a state employee:  

(1) Who is performing services or holding an office, position, employment or membership for which no compensation is provided, or  

(2) Who is not an elected official and  

(a) occupies a position which, by its classification in the state agency involved or by the terms of the contract or conditions of employment, permits personal or private employment during normal working hours, provided that disclosure of such classification or permission is filed in writing with the state ethics commission prior to the commencement of any personal or private employment, or  

(b) in fact does not earn compensation as a state employee for an aggregate of more than eight hundred hours during the preceding three hundred and sixty-five days. For this purpose compensation by the day shall be considered as equivalent to compensation for seven hours per day. A special state employee shall be in such a status on days for which he is not compensated as well as on days on which he earns compensation.  

(p) ''State agency'', any department of state government including the executive, legislative or judicial, and all councils thereof and thereunder, and any division, board, bureau, commission, institution, tribunal or other instrumentality within such department, and any independent state authority, district, commission, instrumentality or agency, but not an agency of a county, city or town.  

(q) ''State employee'', a person performing services for or holding an office, position, employment, or membership in a state agency, whether by election, appointment, contract of hire or engagement, whether serving with or without compensation, on a full, regular, part-time, intermittent or consultant basis, including members of the general court and executive council. No construction contractor nor any of their personnel shall be deemed to be a state employee or special state employee under the provisions of paragraph (o) or this paragraph as a result of participation in the engineering and environmental analysis for major construction projects either as a consultant or part of a consultant group for the commonwealth.  Such contractors or personnel may be awarded construction contracts by the commonwealth and may continue with outstanding construction contracts with the commonwealth during the period of such participation; provided, that no such contractor or personnel shall directly or indirectly bid on or be awarded a contract for any construction project if they have participated in the engineering or environmental analysis thereof.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/1/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,2,"Corrupt gifts, offers or promises to influence official acts; corruption of witnesses","Section 2. (a) Whoever, directly or indirectly, corruptly gives, offers or promises anything of value to any state, county or municipal employee, or to any person who has been selected to be such an employee, or to any member of the judiciary, or who offers or promises any such employee or any member of the judiciary, or any person who has been selected to be such an employee or member of the judiciary, to give anything of value to any other person or entity, with intent  

(1) to influence any official act or any act within the official responsibility of such employee or member of the judiciary or person who has been selected to be such employee or member of the judiciary, or  

(2) to influence such an employee or member of the judiciary or person who has been selected to be such an employee or member of the judiciary, to commit or aid in committing, or collude in, or allow, any fraud, or make opportunity for the commission of any fraud on the commonwealth or a state, county or municipal agency, or  

(3) to induce such an employee or member of the judiciary or person who has been selected to be such an employee or member of the judiciary to do or omit to do any act in violation of his lawful duty; or  

(b) Whoever, being a state, county or municipal employee or a member of the judiciary or a person selected to be such an employee or member of the judiciary, directly or indirectly, corruptly asks, demands, exacts, solicits, seeks, accepts, receives or agrees to receive anything of value for himself or for any other person or entity, in return for  

(1) being influenced in his performance of any official act or any act within his official responsibility, or  

(2) being influenced to commit or aid in committing, or to collude in, or allow any fraud, or make opportunity for the commission of any fraud, on the commonwealth or on a state, county or municipal agency, or  

(3) being induced to do or omit to do any acts in violation of his official duty; or  

(c) Whoever, directly or indirectly, corruptly gives, offers or promises anything of value to any person, or offers or promises such person to give anything of value to any other person or entity, with intent to influence the testimony under oath or affirmation of such first-mentioned person or any other person as a witness upon a trial, or other proceeding, before any court, any committee of either house or both houses of the general court, or any agency, commission or officer authorized by the laws of the commonwealth to hear evidence or take testimony, or with intent to influence such witness to absent himself therefrom; or  

(d) Whoever, directly or indirectly, corruptly asks, demands, exacts, solicits, seeks, accepts, receives or agrees to receive anything of value for himself or for any other person or entity in return for influence upon the testimony under oath or affirmation of himself or any other person as a witness upon any such trial, hearing or other proceeding or in return for the absence of himself or any other person therefrom;&mdash;shall be punished by a fine of not more than $100,000, or by imprisonment in the state prison for not more than 10 years, or in a jail or house of correction for not more than 21/2 years, or both; and in the event of final conviction shall be incapable of holding any office of honor, trust or profit under the commonwealth or under any state, county or municipal agency.  

Clauses (c) and (d) shall not be construed to prohibit the payment or receipt of witness fees provided by law or the payment by the party upon whose behalf a witness is called and receipt by a witness of the reasonable cost of travel and subsistence incurred and the reasonable value of time lost in attendance at any such trial, hearing or proceeding, or, in the case of expert witnesses, involving a technical or professional opinion, a reasonable fee for time spent in the preparation of such opinion, in appearing or testifying.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/2/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,3,"Gifts, offers or promises for acts performed or to be performed; corruption of witnesses; solicitation of gifts; witness fees; regulations","Section 3. (a) Whoever knowingly, otherwise than as provided by law for the proper discharge of official duty, directly or indirectly, gives, offers or promises anything of substantial value to any present or former state, county or municipal employee or to any member of the judiciary, or to any person selected to be such an employee or member of the judiciary: (i) for or because of any official act performed or to be performed by such an employee or member of the judiciary or person selected to be such an employee or member of the judiciary; or (ii) to influence, or attempt to influence, an official action of the state, county or municipal employee or to any member of the judiciary; or  

(b) Whoever knowingly, being a present or former state, county or municipal employee or member of the judiciary, or person selected to be such an employee or member of the judiciary, otherwise than as provided by law for the proper discharge of official duty, directly or indirectly, asks, demands, exacts, solicits, seeks, accepts, receives or agrees to receive anything of substantial value: (i) for himself for or because of any official act or act within his official responsibility performed or to be performed by him; or (ii) to influence, or attempt to influence, him in an official act taken; or  

(c) Whoever knowingly, directly or indirectly, gives, offers or promises anything of substantial value to any person, for or because of testimony under oath or affirmation given or to be given by such person or any other person as a witness upon a trial, hearing or other proceeding, before any court, any committee of either house or both houses of the general court, or any agency, commission or officer authorized by the laws of the commonwealth to hear evidence or take testimony or for or because of his absence therefrom; or  

(d) Whoever knowingly, directly or indirectly, asks, demands, exacts, solicits, seeks, accepts, receives or agrees to receive anything of substantial value for himself for or because of the testimony under oath or affirmation given or to be given by him or any other person as a witness upon any such trial, hearing or other proceeding, or for or because of his absence therefrom; shall be punished by a fine of not more than $50,000, or by imprisonment in the state prison for not more than 5 years, or in a jail or house of correction for not more than 2 1/2 years, or both.  

(e) Clauses (c) and (d) shall not prohibit the payment or receipt of witness fees provided by law or the payment by the party upon whose behalf a witness is called and receipt by a witness of the reasonable cost of travel and subsistence incurred and the reasonable value of time lost in attendance at any such trial, hearing or proceeding, or, in the case of expert witnesses, involving a technical or professional opinion, a reasonable fee for time spent in the preparation of such opinion, in appearing or testifying.  

(f) The state ethics commission shall adopt regulations: (i) defining ''substantial value,''; provided, however, that ''substantial value'' shall not be less than $50; (ii) establishing exclusions for ceremonial gifts; (iii) establishing exclusions for gifts given solely because of family or friendship; and (iv) establishing additional exclusions for other situations that do not present a genuine risk of a conflict or the appearance of a conflict of interest.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/3/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,4,"Other compensation; offer, gift, receipt or request; acting as agent or attorney for other than state; legislators; special state employees","Section 4. (a) No state employee shall otherwise than as provided by law for the proper discharge of official duties, directly or indirectly receive or request compensation from anyone other than the commonwealth or a state agency, in relation to any particular matter in which the commonwealth or a state agency is a party or has a direct and substantial interest.  

(b) No person shall knowingly, otherwise than as provided by law for the proper discharge of official duties, directly or indirectly give, promise or offer such compensation.  

(c) No state employee shall, otherwise than in the proper discharge of his official duties, act as agent or attorney for anyone other than the commonwealth or a state agency for prosecuting any claim against the commonwealth or a state agency, or as agent or attorney for anyone in connection with any particular matter in which the commonwealth or a state agency is a party or has a direct and substantial interest.  

Whoever violates any provision of this section shall be punished by a fine of not more than $10,000, or by imprisonment in the state prison for not more than 5 years, or in a jail or house of correction for not more than 2 1/2 years, or both.  

Neither a member of the general court nor a member of the executive council shall be subject to paragraphs (a) or (c). However, no member of the general court or executive council shall personally appear for any compensation other than his legislative or executive council salary before any state agency, unless:  

(1) the particular matter before the state agency is ministerial in nature; or  

(2) the appearance is before a court of the commonwealth; or  

(3) the appearance is in a quasi-judicial proceeding.  

For the purposes of this paragraph, ministerial functions include, but are not limited to, the filing or amendment of: tax returns, applications for permits or licenses, incorporation papers, or other documents. For the purposes of this paragraph, a proceeding shall be considered quasi-judicial if:  

(1) the action of the state agency is adjudicatory in nature; and  

(2) the action of the state agency in appealable to the courts; and  

(3) both sides are entitled to representation by counsel and such counsel is neither the attorney general nor the counsel for the state agency conducting the proceeding.  

A special state employee shall be subject to paragraphs (a) and (c) only in relation to a particular matter (a) in which he has at any time participated as a state employee, or (b) which is or within one year has been a subject of his official responsibility, or (c) which is pending in the state agency in which he is serving. Clause (c) of the preceding sentence shall not apply in the case of a special state employee who serves on no more than sixty days during any period of three hundred and sixty-five consecutive days.  

This section shall not prevent a state employee from taking uncompensated action, not inconsistent with the faithful performance of his duties, to aid or assist any person who is the subject of disciplinary or other personnel administration proceedings with respect to those proceedings.  

This section shall not prevent a state employee, including a special employee, from acting, with or without compensation, as agent or attorney for or otherwise aiding or assisting members of his immediate family or any person for whom he is serving as guardian, executor, administrator, trustee or other personal fiduciary except in those matters in which he has participated or which are the subject of his official responsibility; provided, that the state official responsible for appointment to his position approves.  

This section shall not prevent a present or former special state employee from aiding or assisting another person for compensation in the performance of work under a contract with or for the benefit of the commonwealth; provided, that the head of the special state employee's department or agency has certified in writing that the interest of the commonwealth requires such aid or assistance and the certification has been filed with the state ethics commission.  

This section shall not prevent a state employee from giving testimony under oath or making statements required to be made under penalty for perjury or contempt.  

This section shall not prohibit a state employee from holding an elective or appointive office in a city, town or district, nor in any way prohibit such an employee from performing the duties of or receiving the compensation provided for such office. No such elected or appointed official may vote or act on any matter which is within the purview of the agency by which he is employed or over which such employee has official responsibility.  

This section shall not prevent a state employee, other than an employee in the department of revenue, from requesting or receiving compensation from anyone other than the commonwealth in relation to the filing or amending of state tax returns.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/4/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,5,Former state employees; acting as agent or attorney or receiving compensation; partners of state employees or legislators,"Section 5. (a) A former state employee who knowingly acts as agent or attorney for, or receives compensation directly or indirectly from anyone other than the commonwealth or a state agency, in connection with any particular matter in which the commonwealth or a state agency is a party or has a direct and substantial interest and in which he participated as a state employee while so employed, or  

(b) a former state employee who, within one year after his last employment has ceased, appears personally before any court or agency of the commonwealth as agent or attorney for anyone other than the commonwealth in connection with any particular matter in which the commonwealth or a state agency is a party or has a direct and substantial interest and which was under his official responsibility as a state employee at any time within a period of two years prior to the termination of his employment, or  

(b1/2) A former state, county or municipal employee who participated as such in general legislation on expanded gaming in the commonwealth or in the implementation, administration or enforcement of chapter 23K, and who becomes an officer or employee of, or who acquires a financial interest in, an applicant for a gaming license or a gaming licensee under said chapter 23K within one year after his last state, county or municipal employment has ceased, or  

(c) a partner of a former state employee who knowingly engages, during a period of one year following the termination of the latter's employment by the commonwealth, in any activity in which the former state employee is himself prohibited from engaging in by clause (a), or  

(d) a partner of a state employee who knowingly acts as agent or attorney for anyone other than the commonwealth in connection with any particular matter in which the commonwealth or a state agency is a party or has a direct and substantial interest and in which the state employee participates or has participated as a state employee or which is the subject of his official responsibility, or  

(e) a former state employee or elected official, including a former member of the general court, who acts as legislative or executive agent, as defined in section thirty-nine of chapter three, for anyone other than the commonwealth or a state agency before the governmental body, as determined by the state ethics commission with which he has been associated, within one year after he leaves that body or  

(f) a former state employee whose salary was not less than that in step one of job group M&ndash;VII in the management salary schedule in section forty-six C of chapter thirty, and who becomes an officer or employee of a business organization which is or was a party to any privatization contract as defined in section fifty-three of chapter seven in which contract he participated as such state employee, if he becomes such officer or employee while the business organization is such a party or within one year after he terminates his state employment, unless before the termination of his state employment the governor determines, in a writing filed with the state ethics commission, that such participation did not significantly affect the terms or implementation of such contract, shall be punished by a fine of not more than $10,000, or by imprisonment in the state prison for not more than 5 years, or in a jail or house of correction for not more than 2 1/2 years, or both.  

If a partner of a member of the general court or of a special state employee or of a former state employee is also a member of another partnership in which the member of the general court or special or former employee has no interest, the activities of the latter partnership in which the member of the general court or special or former employee takes no part shall not thereby be subject to clause (c) or (d).  

This section shall not prevent a present or former special state employee from aiding or assisting another person for compensation in the performance of work under a contract with or for the benefit of the commonwealth; provided, that the head of the special state employee's department or agency has certified in writing that the interest of the commonwealth requires such aid or assistance and the certification has been filed with the state ethics commission.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/5/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,6,"Financial interest of state employee, relative or associates; disclosure","Section 6. (a) Except as permitted by this section, any state employee who participates as such employee in a particular matter in which to his knowledge he, his immediate family or partner, a business organization in which he is serving as officer, director, trustee, partner or employee, or any person or organization with whom he is negotiating or has any arrangement concerning prospective employment, has a financial interest, shall be punished by a fine of not more than $10,000, or by imprisonment in the state prison for not more than 5 years, or in a jail or house of correction for not more than 2 1/2 years, or both.  

Any state employee whose duties would otherwise require him to participate in such a particular matter shall advise the official responsible for appointment to his position and the state ethics commission of the nature and circumstances of the particular matter and make full disclosure of such financial interest, and the appointing official shall thereupon either  

(1) assign the particular matter to another employee; or  

(2) assume responsibility for the particular matter; or  

(3) make a written determination that the interest is not so substantial as to be deemed likely to affect the integrity of the services which the commonwealth may expect from the employee, in which case it shall not be a violation for the employee to participate in the particular matter. Copies of such written determination shall be forwarded to the state employee and filed with the state ethics commission by the person who made the determination.  Such copy shall be retained by the commission for a period of six years.  

[There is no subsection (b).]   

",False,http://malegislature.gov/api/Chapters/268A/Sections/6/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,6A,Conflict of interest of public official; reporting requirement,"Section 6A. Any public official, as defined by section one of chapter two hundred and sixty-eight B, who in the discharge of his official duties would be required knowingly to take an action which would substantially affect such official's financial interests, unless the effect on such an official is no greater than the effect on the general public, shall file a written description of the required action and the potential conflict of interest with the state ethics commission established by said chapter two hundred and sixty-eight B.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/6A/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,6B,Candidates for employment as state employee; disclosure of relation to state employee,"Section 6B. Each candidate for employment as a state employee shall be required by the hiring authority as part of the application process to disclose, in writing, the names of any state employee who is related to the candidate as: spouse, parent, child or sibling or the spouse of the candidate's parent, child or sibling.  

The contents of a disclosure received under this section from an employee when such employee was a candidate shall be considered public records under section 7 of chapter 4 and chapter 66.  

All disclosures made by applicants hired by a state agency shall be made available for public inspection to the extent permissible by law by the official with whom such disclosure has been filed.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/6B/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,7,Financial interest in contracts of state agency; application of section,"Section 7. A state employee who has a financial interest, directly or indirectly, in a contract made by a state agency, in which the commonwealth or a state agency is an interested party, of which interest he has knowledge or has reason to know, shall be punished by a fine of not more than $10,000, or by imprisonment in the state prison for not more than 5 years, or in a jail or house of correction for not more than 2 1/2 years, or both.  

This section shall not apply if such financial interest consists of the ownership of less than one per cent of the stock of a corporation.  

This section shall not apply (a) to a state employee who in good faith and within thirty days after he learns of an actual or prospective violation of this section makes full disclosure of his financial interest to the contracting agency and terminates or disposes of the interest, or (b) to a state employee other than a member of the general court who is not employed by the contracting agency or an agency which regulates the activities of the contracting agency and who does not participate in or have official responsibility for any of the activities of the contracting agency, if the contract is made after public notice or where applicable, through competitive bidding, and if the state employee files with the state ethics commission a statement making full disclosure of his interest and the interests of his immediate family in the contract, and if in the case of a contract for personal services (1) the services will be provided outside the normal working hours of the state employee, (2) the services are not required as part of the state employee's regular duties, the employee is compensated for not more than five hundred hours during a calendar year, and (3) the head of the contracting agency makes and files with the state ethics commission a written certification that no employee of that agency is available to perform those services as a part of their regular duties, or (c) to the interest of a member of the general court in a contract made by an agency other than the general court or either branch thereof, if his direct and indirect interests and those of his immediate family in the corporation or other commercial entity with which the contract is made do not in the aggregate amount to ten per cent of the total proprietary interests therein, and the contract is made through competitive bidding and he files with the state ethics commission a statement making full disclosure of his interest and the interests of his immediate family or (d) to a special state employee who does not participate in or have official responsibility for any of the activities of the contracting agency and who files with the state ethics commission a statement making full disclosure of his interest and the interests of his immediate family in the contract, or (e) to a special state employee who files with the state ethics commission a statement making full disclosure of his interest and the interests of his immediate family in the contract, if the governor with the advice and consent of the executive council exempts him.  

This section shall not apply to a state employee who provides services or furnishes supplies, goods and materials to a recipient of public assistance, provided that such services or such supplies, goods and materials are provided in accordance with a schedule of charges promulgated by the department of transitional assistance or the division of health care policy and finance and provided, further, that such recipient has the right under law to choose and in fact does choose the person or firm that will provide such services or furnish such supplies, goods and materials.  

This section shall not prohibit a state employee from teaching or performing other related duties in an educational institution of the commonwealth; provided, that such employee does not participate in, or have official responsibility for, the financial management of such educational institution; and provided, further, that such employee is so employed on a part-time basis. Such employee may be compensated for such services, notwithstanding the provisions of section twenty-one of chapter thirty.  

This section shall not prohibit a state employee from being employed on a part-time basis by a facility operated or designed for the care of mentally ill or mentally retarded persons, public health, correctional facility or any other facility principally funded by the state which provides similar services and which operates on an uninterrupted and continuous basis; provided that such employee does not participate in, or have official responsibility for, the financial management of such facility, that he is compensated for such part-time employment for not more than four hours in any day in which he is otherwise compensated by the commonwealth, and at a rate which does not exceed that of a state employee classified in step one of job group XX of the general salary schedule contained in section forty-six of chapter thirty, and that the head of the facility makes and files with the state ethics commission a written certification that there is a critical need for the services of the employee. Such employee may be compensated for such services, notwithstanding the provisions of section twenty-one of chapter thirty.  

This section shall not preclude an officer or employee of the Massachusetts Port Authority from eligibility for any residential sound insulation program or the bayswater environmental program provided that the officer or employee has no responsibility for the administration for that program from which he is to receive the benefit.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/7/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
268A,8,Public building or construction contracts,"Section 8. No state, county or municipal employee and no person acting or purporting to act on behalf of such employee, or any state, county or municipal agency, shall with respect to any public building or construction contract which is about to be or which has been competitively bid, require the bidder to make application to or furnish financial data to, or to obtain, or procure, any of the surety bonds or insurance specified in connection with such contract or specified by any law from any particular insurance or surety company, agent, or broker. This section shall not prevent the exercise by such employee on behalf of a state, county, or municipal agency of its right to approve the form, sufficiency, or manner of execution of the surety bonds and insurance furnished by the insurance or surety company selected by the bidder to underwrite said insurance and bonds. Any provisions in any invitation for bids, or in any of the contract documents, in conflict with this section are hereby declared to be contrary to the public policy of this commonwealth. Whoever violates any provision of this section shall be punished by a fine of not more than $10,000, or by imprisonment in the state prison for not more than 5 years, or in a jail or house of correction for not more than 2 1/2 years, or both.   

",False,http://malegislature.gov/api/Chapters/268A/Sections/8/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
